Time,H2,H4
1.9800201e+00,2.8133333e-01,1.3140000e-01
1.9810271e+00,2.8113333e-01,1.3126667e-01
1.9820341e+00,2.8100000e-01,1.3100000e-01
1.9830410e+00,2.8120000e-01,1.3086667e-01
1.9840222e+00,2.8206667e-01,1.3073333e-01
1.9850292e+00,2.8286667e-01,1.3073333e-01
1.9860362e+00,2.8333333e-01,1.3066667e-01
1.9870431e+00,2.8366667e-01,1.3060000e-01
1.9880243e+00,2.8380000e-01,1.3046667e-01
1.9890313e+00,2.8380000e-01,1.3026667e-01
1.9900382e+00,2.8406667e-01,1.3013333e-01
1.9910194e+00,2.8453333e-01,1.3013333e-01
1.9920264e+00,2.8493333e-01,1.3013333e-01
1.9930333e+00,2.8546667e-01,1.3006667e-01
1.9940403e+00,2.8606667e-01,1.3006667e-01
1.9950215e+00,2.8680000e-01,1.2993333e-01
1.9960284e+00,2.8766667e-01,1.2980000e-01
1.9970354e+00,2.8806667e-01,1.2973333e-01
1.9980424e+00,2.8780000e-01,1.2966667e-01
1.9990236e+00,2.8733333e-01,1.2953333e-01
2.0000305e+00,2.8700000e-01,1.2953333e-01
2.0010375e+00,2.8653333e-01,1.2953333e-01
2.0020187e+00,2.8606667e-01,1.2940000e-01
2.0030256e+00,2.8560000e-01,1.2933333e-01
2.0040326e+00,2.8493333e-01,1.2940000e-01
2.0050396e+00,2.8466667e-01,1.2933333e-01
2.0060207e+00,2.8506667e-01,1.2933333e-01
2.0070277e+00,2.8573333e-01,1.2933333e-01
2.0080347e+00,2.8626667e-01,1.2933333e-01
2.0090417e+00,2.8633333e-01,1.2920000e-01
2.0100228e+00,2.8606667e-01,1.2913333e-01
2.0110298e+00,2.8620000e-01,1.2913333e-01
2.0120368e+00,2.8713333e-01,1.2906667e-01
2.0130179e+00,2.8826667e-01,1.2906667e-01
2.0140249e+00,2.8920000e-01,1.2913333e-01
2.0150319e+00,2.9026667e-01,1.2913333e-01
2.0160389e+00,2.9133333e-01,1.2893333e-01
2.0170200e+00,2.9200000e-01,1.2873333e-01
2.0180270e+00,2.9246667e-01,1.2853333e-01
2.0190340e+00,2.9293333e-01,1.2853333e-01
2.0200409e+00,2.9340000e-01,1.2860000e-01
2.0210221e+00,2.9333333e-01,1.2853333e-01
2.0220291e+00,2.9306667e-01,1.2840000e-01
2.0230361e+00,2.9346667e-01,1.2826667e-01
2.0240430e+00,2.9426667e-01,1.2820000e-01
2.0250242e+00,2.9513333e-01,1.2813333e-01
2.0260312e+00,2.9613333e-01,1.2820000e-01
2.0270381e+00,2.9706667e-01,1.2826667e-01
2.0280193e+00,2.9766667e-01,1.2826667e-01
2.0290263e+00,2.9766667e-01,1.2813333e-01
2.0300332e+00,2.9740000e-01,1.2806667e-01
2.0310402e+00,2.9753333e-01,1.2800000e-01
2.0320214e+00,2.9780000e-01,1.2793333e-01
2.0330283e+00,2.9753333e-01,1.2793333e-01
2.0340353e+00,2.9666667e-01,1.2793333e-01
2.0350423e+00,2.9586667e-01,1.2800000e-01
2.0360235e+00,2.9566667e-01,1.2786667e-01
2.0370304e+00,2.9573333e-01,1.2773333e-01
2.0380374e+00,2.9573333e-01,1.2766667e-01
2.0390186e+00,2.9586667e-01,1.2766667e-01
2.0400255e+00,2.9593333e-01,1.2766667e-01
2.0410325e+00,2.9586667e-01,1.2766667e-01
2.0420395e+00,2.9600000e-01,1.2760000e-01
2.0430206e+00,2.9706667e-01,1.2753333e-01
2.0440276e+00,2.9873333e-01,1.2746667e-01
2.0450346e+00,3.0013333e-01,1.2733333e-01
2.0460416e+00,3.0113333e-01,1.2720000e-01
2.0470227e+00,3.0200000e-01,1.2713333e-01
2.0480297e+00,3.0266667e-01,1.2713333e-01
2.0490367e+00,3.0300000e-01,1.2713333e-01
2.0500178e+00,3.0313333e-01,1.2713333e-01
2.0510248e+00,3.0293333e-01,1.2700000e-01
2.0520318e+00,3.0246667e-01,1.2686667e-01
2.0530388e+00,3.0193333e-01,1.2673333e-01
2.0540199e+00,3.0146667e-01,1.2673333e-01
2.0550269e+00,3.0086667e-01,1.2673333e-01
2.0560339e+00,3.0040000e-01,1.2673333e-01
2.0570408e+00,2.9993333e-01,1.2673333e-01
2.0580220e+00,2.9933333e-01,1.2666667e-01
2.0590290e+00,2.9833333e-01,1.2653333e-01
2.0600360e+00,2.9733333e-01,1.2646667e-01
2.0610429e+00,2.9673333e-01,1.2653333e-01
2.0620241e+00,2.9640000e-01,1.2653333e-01
2.0630311e+00,2.9620000e-01,1.2653333e-01
2.0640380e+00,2.9620000e-01,1.2653333e-01
2.0650192e+00,2.9626667e-01,1.2646667e-01
2.0660262e+00,2.9653333e-01,1.2640000e-01
2.0670331e+00,2.9673333e-01,1.2633333e-01
2.0680401e+00,2.9686667e-01,1.2626667e-01
2.0690213e+00,2.9700000e-01,1.2626667e-01
2.0700282e+00,2.9720000e-01,1.2626667e-01
2.0710352e+00,2.9733333e-01,1.2613333e-01
2.0720422e+00,2.9726667e-01,1.2593333e-01
2.0730234e+00,2.9733333e-01,1.2580000e-01
2.0740303e+00,2.9753333e-01,1.2580000e-01
2.0750373e+00,2.9793333e-01,1.2586667e-01
2.0760185e+00,2.9846667e-01,1.2593333e-01
2.0770254e+00,2.9893333e-01,1.2593333e-01
2.0780324e+00,2.9913333e-01,1.2586667e-01
2.0790394e+00,2.9920000e-01,1.2580000e-01
2.0800205e+00,2.9893333e-01,1.2566667e-01
2.0810275e+00,2.9833333e-01,1.2553333e-01
2.0820345e+00,2.9793333e-01,1.2560000e-01
2.0830415e+00,2.9786667e-01,1.2566667e-01
2.0840226e+00,2.9780000e-01,1.2573333e-01
2.0850296e+00,2.9753333e-01,1.2560000e-01
2.0860366e+00,2.9686667e-01,1.2546667e-01
2.0870436e+00,2.9620000e-01,1.2533333e-01
2.0880247e+00,2.9586667e-01,1.2540000e-01
2.0890317e+00,2.9540000e-01,1.2540000e-01
2.0900387e+00,2.9440000e-01,1.2533333e-01
2.0910198e+00,2.9400000e-01,1.2526667e-01
2.0920268e+00,2.9460000e-01,1.2526667e-01
2.0930338e+00,2.9546667e-01,1.2513333e-01
2.0940407e+00,2.9586667e-01,1.2500000e-01
2.0950219e+00,2.9606667e-01,1.2500000e-01
2.0960289e+00,2.9633333e-01,1.2500000e-01
2.0970359e+00,2.9640000e-01,1.2500000e-01
2.0980428e+00,2.9620000e-01,1.2500000e-01
2.0990240e+00,2.9626667e-01,1.2493333e-01
2.1000310e+00,2.9673333e-01,1.2473333e-01
2.1010379e+00,2.9713333e-01,1.2453333e-01
2.1020191e+00,2.9766667e-01,1.2453333e-01
2.1030261e+00,2.9806667e-01,1.2453333e-01
2.1040330e+00,2.9806667e-01,1.2453333e-01
2.1050400e+00,2.9786667e-01,1.2446667e-01
2.1060212e+00,2.9780000e-01,1.2433333e-01
2.1070281e+00,2.9760000e-01,1.2420000e-01
2.1080351e+00,2.9726667e-01,1.2406667e-01
2.1090421e+00,2.9753333e-01,1.2400000e-01
2.1100233e+00,2.9806667e-01,1.2400000e-01
2.1110302e+00,2.9833333e-01,1.2406667e-01
2.1120372e+00,2.9806667e-01,1.2406667e-01
2.1130184e+00,2.9786667e-01,1.2406667e-01
2.1140253e+00,2.9786667e-01,1.2400000e-01
2.1150323e+00,2.9773333e-01,1.2386667e-01
2.1160393e+00,2.9753333e-01,1.2380000e-01
2.1170204e+00,2.9733333e-01,1.2380000e-01
2.1180274e+00,2.9740000e-01,1.2380000e-01
2.1190344e+00,2.9773333e-01,1.2380000e-01
2.1200414e+00,2.9786667e-01,1.2373333e-01
2.1210225e+00,2.9700000e-01,1.2366667e-01
2.1220295e+00,2.9546667e-01,1.2353333e-01
2.1230365e+00,2.9400000e-01,1.2340000e-01
2.1240435e+00,2.9340000e-01,1.2340000e-01
2.1250246e+00,2.9320000e-01,1.2340000e-01
2.1260316e+00,2.9286667e-01,1.2333333e-01
2.1270386e+00,2.9246667e-01,1.2326667e-01
2.1280197e+00,2.9220000e-01,1.2313333e-01
2.1290267e+00,2.9186667e-01,1.2293333e-01
2.1300337e+00,2.9106667e-01,1.2286667e-01
2.1310406e+00,2.8980000e-01,1.2280000e-01
2.1320218e+00,2.8900000e-01,1.2280000e-01
2.1330288e+00,2.8893333e-01,1.2280000e-01
2.1340358e+00,2.8933333e-01,1.2280000e-01
2.1350427e+00,2.8980000e-01,1.2260000e-01
2.1360239e+00,2.8960000e-01,1.2246667e-01
2.1370309e+00,2.8833333e-01,1.2240000e-01
2.1380378e+00,2.8680000e-01,1.2246667e-01
2.1390190e+00,2.8660000e-01,1.2240000e-01
2.1400260e+00,2.8720000e-01,1.2240000e-01
2.1410329e+00,2.8746667e-01,1.2240000e-01
2.1420399e+00,2.8740000e-01,1.2226667e-01
2.1430211e+00,2.8753333e-01,1.2213333e-01
2.1440281e+00,2.8773333e-01,1.2220000e-01
2.1450350e+00,2.8780000e-01,1.2220000e-01
2.1460420e+00,2.8773333e-01,1.2206667e-01
2.1470232e+00,2.8786667e-01,1.2206667e-01
2.1480301e+00,2.8846667e-01,1.2206667e-01
2.1490371e+00,2.8913333e-01,1.2193333e-01
2.1500441e+00,2.8960000e-01,1.2186667e-01
2.1510252e+00,2.8940000e-01,1.2180000e-01
2.1520322e+00,2.8866667e-01,1.2173333e-01
2.1530392e+00,2.8780000e-01,1.2166667e-01
2.1540203e+00,2.8753333e-01,1.2160000e-01
2.1550273e+00,2.8780000e-01,1.2153333e-01
2.1560343e+00,2.8846667e-01,1.2146667e-01
2.1570413e+00,2.8946667e-01,1.2133333e-01
2.1580224e+00,2.9066667e-01,1.2113333e-01
2.1590294e+00,2.9166667e-01,1.2100000e-01
2.1600364e+00,2.9213333e-01,1.2106667e-01
2.1610434e+00,2.9220000e-01,1.2106667e-01
2.1620245e+00,2.9180000e-01,1.2106667e-01
2.1630315e+00,2.9126667e-01,1.2100000e-01
2.1640385e+00,2.9093333e-01,1.2086667e-01
2.1650196e+00,2.9073333e-01,1.2073333e-01
2.1660266e+00,2.9060000e-01,1.2066667e-01
2.1670336e+00,2.9093333e-01,1.2066667e-01
2.1680405e+00,2.9146667e-01,1.2066667e-01
2.1690217e+00,2.9146667e-01,1.2053333e-01
2.1700287e+00,2.9126667e-01,1.2040000e-01
2.1710357e+00,2.9133333e-01,1.2033333e-01
2.1720426e+00,2.9186667e-01,1.2033333e-01
2.1730238e+00,2.9253333e-01,1.2026667e-01
2.1740308e+00,2.9300000e-01,1.2026667e-01
2.1750377e+00,2.9320000e-01,1.2013333e-01
